BugId,Link,Title,Type,concurrencyBugs,configBugs,optimBugs,perfBugs,errorBugs,hangBugs
FLUME-3313,https://issues.apache.org/jira/browse/FLUME-3313?jql=id%3DFLUME-3313,Multiple agents cannot connect to same JMS Durable,[],0,0,0,0,0,0
FLUME-3312,https://issues.apache.org/jira/browse/FLUME-3312?jql=id%3DFLUME-3312,"Download page should use https for KEYS, sigs and hashes",[],0,0,0,0,0,0
FLUME-3311,https://issues.apache.org/jira/browse/FLUME-3311?jql=id%3DFLUME-3311,Update Wrong Use In HDFS Sink,[],0,0,0,0,0,0
FLUME-3308,https://issues.apache.org/jira/browse/FLUME-3308?jql=id%3DFLUME-3308,TailDirSource will write an empty position json file,[],0,0,0,0,0,0
FLUME-3306,https://issues.apache.org/jira/browse/FLUME-3306?jql=id%3DFLUME-3306,RollingFileSink sink.directory not exits,[],0,0,0,0,0,0
FLUME-3304,https://issues.apache.org/jira/browse/FLUME-3304?jql=id%3DFLUME-3304,hdfs sink rename empty file,[],0,0,0,0,0,0
FLUME-3299,https://issues.apache.org/jira/browse/FLUME-3299?jql=id%3DFLUME-3299,Fix log4j scopes in pom files,[],0,0,0,0,0,0
FLUME-3298,https://issues.apache.org/jira/browse/FLUME-3298?jql=id%3DFLUME-3298,Make hadoop-common optional in flume-ng-hadoop-credential-store-config-filter,[],0,0,0,0,0,0
FLUME-3297,https://issues.apache.org/jira/browse/FLUME-3297?jql=id%3DFLUME-3297,HDFS sink name collision,[],0,0,0,0,0,0
FLUME-3294,https://issues.apache.org/jira/browse/FLUME-3294?jql=id%3DFLUME-3294,Fix polling logic in TaildirSource,[],0,0,0,0,0,0
FLUME-3279,https://issues.apache.org/jira/browse/FLUME-3279?jql=id%3DFLUME-3279,hive sink cannot work after a HeartBeatFailure,[],0,0,0,0,0,0
FLUME-3278,https://issues.apache.org/jira/browse/FLUME-3278?jql=id%3DFLUME-3278,Handling -D keystore parameters in Kafka components,[],0,0,0,0,0,0
FLUME-3277,https://issues.apache.org/jira/browse/FLUME-3277?jql=id%3DFLUME-3277,Flume connect to ElasticSearch 6.4 failed after adding es jars into flume directory,[],0,0,0,0,0,0
FLUME-3274,https://issues.apache.org/jira/browse/FLUME-3274?jql=id%3DFLUME-3274,KafkaSource and JMSSource can get stuck at startup connection exception,[],0,0,0,0,0,0
FLUME-3273,https://issues.apache.org/jira/browse/FLUME-3273?jql=id%3DFLUME-3273,Avro Flume source throws java.nio.channels.ClosedChannelException when a client is being disconnected,[],0,0,0,0,0,0
FLUME-3270,https://issues.apache.org/jira/browse/FLUME-3270?jql=id%3DFLUME-3270,Close JMS resources in JMSMessageConsumer constructor in case of failure,[],0,0,0,0,0,0
FLUME-3267,https://issues.apache.org/jira/browse/FLUME-3267?jql=id%3DFLUME-3267,flume taildir will lost log when log rolling,[],0,0,0,0,0,0
FLUME-3266,https://issues.apache.org/jira/browse/FLUME-3266?jql=id%3DFLUME-3266,the parameters of fsyncPerTransaction are not working ,[],0,0,0,0,0,0
FLUME-3265,https://issues.apache.org/jira/browse/FLUME-3265?jql=id%3DFLUME-3265,Cannot set batch-size for LoadBalancingRpcClient,[],0,0,0,0,0,0
CASSANDRA-15296,https://issues.apache.org/jira/browse/CASSANDRA-15296?jql=id%3DCASSANDRA-15296,ZstdCompressor compression_level setting,[],0,0,0,0,0,0
CASSANDRA-15295,https://issues.apache.org/jira/browse/CASSANDRA-15295?jql=id%3DCASSANDRA-15295,Running into deadlock when do CommitLog initialization,[],0,0,0,0,0,0
